"Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals_Added","Base_Salary","Guaranteed_Compensation","Log_Goals_Added"
"Nicolás Acevedo","NYC",2022,"DM",2525,0.36,0.06,0.47,0.05,-0.41,0.02,0.56,2e+05,244800,0.69810054562339
"Santiago Sosa","ATL",2022,"DM",1544,0.12,-0.26,-0.06,0.72,-0.09,0.12,0.55,525000,643100,0.697229342759717
"Franco Jara","FCD",2022,"ST",1078,-0.16,-0.09,-0.15,-0.48,1.36,0.07,0.55,2540000,3227000,0.697229342759717
"Danny Hoesen","ATX",2022,"ST",467,0.13,-0.07,-0.08,-0.24,0.66,0.14,0.54,650000,716667,0.696356388733332
"Juan Sánchez","ATL",2022,"CB",1604,0.15,-0.53,-0.02,-0.2,0.79,0.35,0.54,4e+05,483500,0.696356388733332
"Tsiki Ntsabeleng","FCD",2022,"CM",951,0.18,-0.01,0,0.23,-0.06,0.19,0.52,65500,65500,0.694605198933569
"Cameron Harper","NYRB",2022,"FB",875,0.26,0.02,0.22,0.12,-0.08,0,0.52,225000,276250,0.694605198933569
"Gabriele Corbo","MTL",2022,"CB",1268,0.04,0.12,0.17,0.47,-0.26,-0.05,0.5,120192,120192,0.69284691927723
"Rayan Raveloson","LAG",2022,"CM",1954,-0.1,0.24,0.22,-0.76,0.78,0.13,0.5,780000,855025,0.69284691927723
"Luis Martins","VAN",2022,"FB",524,-0.08,0.24,0.48,-0.09,-0.1,0.03,0.48,3e+05,329000,0.691081492122968
"Marco Delgado","LAG",2022,"CM",2764,-0.01,-0.03,0.48,1.08,-0.54,-0.49,0.48,650000,726250,0.691081492122968
"Bode Davis","RSL",2022,"W",119,-0.02,0,0.2,0.33,-0.02,-0.02,0.47,84000,88294,0.690196080028514
"Danny Musovski","LAFC, RSL",2022,"W",636,0.17,-0.02,0.21,-0.47,0.5,0.07,0.47,93988,93988,0.690196080028514
"Yeimar Gómez Andrade","SEA",2022,"CB",2532,0,-0.21,0.59,0,0.04,0.04,0.45,650004,719092,0.688419822002711
"Dax McCarty","NSH",2022,"DM",1946,-0.02,0.06,-0.02,0.47,0.05,-0.09,0.45,475000,517500,0.688419822002711
"Carlos Terán","CHI",2022,"CB",1855,-0.05,0.06,0.18,0.05,0.05,0.15,0.44,2e+05,255440,0.687528961214634
"Lewis Morgan","NYRB",2022,"W",2915,0.25,0.1,-0.04,-0.29,-0.19,0.59,0.43,650000,653125,0.686636269262293
"Johan Kappelhof","RSL",2022,"CB",591,0.04,0.04,0.24,0.01,0.06,0.03,0.42,260000,287000,0.685741738602264
"Daniel Steres","HOU",2022,"CB",1500,0.1,-0.14,-0.29,0.71,-0.02,0.06,0.42,450000,468750,0.685741738602264
"Fredy Montero","SEA",2022,"ST",1410,-0.56,0.52,-0.02,0.74,-0.27,0.02,0.42,110000,110000,0.685741738602264
"Indiana Vassilev","MIA",2022,"W",1183,0.49,-0.1,0.12,-0.02,-0.12,0.04,0.41,84000,134000,0.684845361644412
"Jackson Ragen","SEA",2022,"CB",1544,-0.03,-0.26,0.79,0.25,-0.31,-0.04,0.41,65500,65500,0.684845361644412
"Gastón Giménez","CHI",2022,"DM",1852,-0.05,-0.11,0.4,0.05,-0.09,0.21,0.41,2060000,2360670,0.684845361644412
"Ousseni Bouda","SJE",2022,"W",164,-0.09,0.24,0.03,-0.04,0.18,0.09,0.4,84000,96500,0.683947130751512
"Nicholas DePuy","LAG",2022,"CB",1446,0.15,0.42,0.06,-0.34,0.09,0,0.38,231000,231000,0.682145076373832
"John Tolkin","NYRB",2022,"FB",3041,-0.24,0.47,-0.14,-0.32,0.26,0.35,0.38,1e+05,105000,0.682145076373832
"Nicholas Markanich","CIN",2022,"ST",148,-0.32,-0.01,0.11,-0.05,0.6,0.03,0.37,65500,65500,0.681241237375587
"Jahkeele Marshall-Rutty","TOR",2022,"FB",707,-0.1,0.1,0.66,-0.22,-0.06,-0.02,0.36,130000,136842,0.680335513414563
"Jhegson Méndez","LAFC, ORL",2022,"DM",756,-0.05,0.23,0.33,0.33,-0.32,-0.17,0.35,6e+05,636750,0.679427896612119
"Ryan Spaulding","NER",2022,"FB",293,0.1,0.02,0.4,-0.12,-0.07,0.01,0.35,65500,65500,0.679427896612119
"Jáder Obrian","FCD",2022,"W",1512,-0.25,-0.18,0.01,0.02,0.85,-0.11,0.35,382500,467100,0.679427896612119
"Teenage Hadebe","HOU",2022,"CB",2013,0.11,0.08,-0.16,0.18,-0.17,0.3,0.34,1014000,1179180,0.678518379040114
"Yuya Kubo","CIN",2022,"CM",1495,0.03,-0.11,0.47,0.34,-0.24,-0.15,0.34,1091000,1206750,0.678518379040114
"Zachary Brault-Guillard","MTL",2022,"FB",731,0.13,0,-0.17,-0.22,0.48,0.12,0.34,275000,319375,0.678518379040114
"Dairon Asprilla","POR",2022,"W",2052,-0.02,-0.11,-0.46,0.07,0.92,-0.06,0.34,350000,352500,0.678518379040114
"Calvin Harris","CIN",2022,"FB",216,-0.03,-0.02,-0.03,-0.11,0.26,0.26,0.33,85444,100444,0.677606952720493
"Giacomo Vrioni","NER",2022,"ST",279,-0.17,0.23,-0.2,-0.07,0.46,0.08,0.33,1.5e+06,1747500,0.677606952720493
"Daniel Gazdag","PHI",2022,"AM",3216,-1.07,0.1,0.15,-0.58,1.54,0.19,0.33,550000,586250,0.677606952720493
"Sebastian Berhalter","VAN",2022,"CM",1117,0.14,-0.06,0.42,-0.28,0.05,0.06,0.32,1e+05,137250,0.676693609624867
"Facundo Torres","ORL",2022,"W",2798,-0.58,0.24,0.44,0.29,0.14,-0.23,0.31,6e+05,953200,0.675778341674085
"James Igbekeme","CLB",2022,"W",1021,0.1,0.03,0.17,0.19,-0.12,-0.06,0.31,315000,408281,0.675778341674085
"Lucas Cavallini","VAN",2022,"ST",1666,-0.53,0.09,-0.22,0.2,0.56,0.21,0.31,1.2e+06,1462500,0.675778341674085
"Sacha Kljestan","LAG",2022,"DM",543,-0.09,-0.01,0.44,0.25,-0.19,-0.09,0.3,84000,84000,0.674861140737812
"Marcos López","SJE",2022,"FB",1515,-0.03,0.08,0.39,-0.28,0.02,0.13,0.29,4e+05,440250,0.673941998634088
"Adrián Cubas","VAN",2022,"CM",1462,-0.02,-0.07,0.69,0.31,-0.5,-0.11,0.29,9e+05,9e+05,0.673941998634088
"Franco Escobar","LAFC",2022,"FB",1264,-0.31,0.02,0.57,0.08,-0.02,-0.06,0.29,550008,550008,0.673941998634088
"Kyle Duncan","NYRB",2022,"FB",660,0.02,-0.02,0.03,0.28,-0.01,-0.02,0.28,268212,293610,0.673020907128896
"Sami Guediri","DCU",2022,"FB",867,-0.04,0.04,0.3,0.09,-0.06,-0.05,0.28,84000,84000,0.673020907128896
"Eddie Segura","LAFC",2022,"CB",921,0.12,0.03,-0.02,0.28,-0.15,0,0.27,2e+05,224000,0.672097857935717
"Felipe Mora","POR",2022,"ST",119,0.02,0.24,-0.02,-0.09,0.08,0.04,0.27,875000,955000,0.672097857935717
"Marinos Tzionis","SKC",2022,"W",912,0.19,0.13,-0.12,-0.15,0.1,0.11,0.27,612500,612500,0.672097857935717
"Alan Benítez","MIN",2022,"FB",640,0.15,-0.03,-0.15,0.27,-0.02,0.04,0.26,380000,437250,0.671172842715083
"Héctor Jiménez","ATX",2022,"FB",664,-0.03,0.06,0,0.35,-0.09,-0.03,0.26,2e+05,2e+05,0.671172842715083
"Kieran Gibbs","MIA",2022,"FB",695,-0.03,0.04,0.35,-0.12,-0.04,0.06,0.26,370000,378167,0.671172842715083
"Ruben Gabrielsen","ATX",2022,"CB",3018,0.34,0.32,-0.73,0.6,-0.17,-0.1,0.26,950000,950000,0.671172842715083
"Víctor Vázquez","LAG",2022,"ST",1270,0.12,-0.13,0.09,1.14,-0.81,-0.15,0.26,440000,440000,0.671172842715083
"Damion Lowe","MIA",2022,"CB",2632,-0.55,-0.31,0.79,0.13,0.3,-0.09,0.25,225000,268333,0.670245853074124
"Andre Shinyashiki","CLT, COL",2022,"W",1226,-0.24,-0.12,0.22,-0.09,0.29,0.19,0.25,140000,150000,0.670245853074124
"Maxime Chanot","NYC",2022,"CB",1616,0.18,0.18,0.14,-0.2,-0.04,-0.01,0.25,7e+05,7e+05,0.670245853074124
"Daniel Lovitz","NSH",2022,"FB",2878,0.03,-0.32,0.22,0.76,-0.31,-0.13,0.24,498750,498750,0.669316880566112
"Jack Skahan","SJE",2022,"FB",132,0.08,-0.03,0.02,0.18,-0.02,0.02,0.23,84000,84000,0.66838591669
"Moussa Djitté","ATX",2022,"ST",544,0,-0.07,0.06,-0.15,0.28,0.11,0.23,550000,550000,0.66838591669
"Dylan Nealis","NYRB",2022,"FB",2016,-0.1,0.04,0.54,-0.08,-0.05,-0.11,0.23,175000,2e+05,0.66838591669
"Kimarni Smith","DCU",2022,"FB",440,-0.26,0,0.19,0.07,0.19,0.03,0.23,85444,85444,0.66838591669
