Club,Last Name,First Name,Playing Position,2022 Base Salary,2022 Guar. Comp.
Seattle Sounders FC,Cleveland,Stefan,GK,"$150,000","$167,500"
Seattle Sounders FC,Dobbelaere,Ethan,M,"$89,716","$103,716"
Seattle Sounders FC,Frei,Stefan,GK,"$500,000","$500,000"
Seattle Sounders FC,GÃ³mez Andrade,Yeimar,D,"$650,004","$719,092"
Seattle Sounders FC,Leyva,Danny,M,"$110,000","$129,423"
Seattle Sounders FC,Lodeiro,NicolÃ¡s,M,"$2,640,000","$3,256,667"
Seattle Sounders FC,Medranda,Jimmy,M-D,"$200,000","$210,000"
Seattle Sounders FC,Montero,Fredy,F,"$110,000","$110,000"
Seattle Sounders FC,Morris,Jordan,F,"$1,250,000","$1,370,100"
Seattle Sounders FC,Ocampo-ChÃ¡vez,Alfonso,F,"$100,000","$114,500"
Seattle Sounders FC,Paulo,JoÃ£o,M,"$1,200,000","$1,283,333"
Seattle Sounders FC,Ragen,Jackson ,D,"$65,500","$65,500"
Seattle Sounders FC,RoldÃ¡n,Cristian,M,"$860,000","$981,542"
Seattle Sounders FC,RoldÃ¡n,Ãlex,M-D,"$200,000","$232,500"
Seattle Sounders FC,Rowe,Kelyn,M-D,"$275,000","$275,000"
Seattle Sounders FC,RuidÃ­az,RaÃºl,F,"$2,472,000","$3,201,120"
Seattle Sounders FC,RusnÃ¡k,Albert,M,"$1,800,000","$1,871,667"
Seattle Sounders FC,Teves,Dylan ,M,"$65,500","$65,500"
Seattle Sounders FC,Thomas,Andrew ,GK,"$84,000","$91,500"
Seattle Sounders FC,Tolo,Nouhou,D,"$300,000","$344,274"
Seattle Sounders FC,Vargas ,Obed ,M,"$65,500","$74,531"
Sporting Kansas City,Cisneros,Osvaldo,F,"$65,500","$68,500"
Sporting Kansas City,Davis ,Jacob ,M,"$65,500","$65,500"
Sporting Kansas City,Duke,Cameron,M,"$90,000","$93,000"
Sporting Kansas City,Espinoza,RÃ³ger,M,"$300,000","$300,000"
Sporting Kansas City,FontÃ¡s,Andreu,D,"$1,125,000","$1,125,000"
Sporting Kansas City,Ford,Kortne,D,"$150,000","$151,667"
Sporting Kansas City,HernÃ¡ndez,Felipe,M,"$85,444","$85,444"
Sporting Kansas City,Isimat-Mirin,Nicolas,D,"$950,000","$1,028,124"
Sporting Kansas City,Kinda,Gadi,M,"$850,000","$918,000"
Sporting Kansas City,McIntosh,Kendall,GK,"$120,000","$120,000"
Sporting Kansas City,Melia,Tim,GK,"$525,000","$529,167"
Sporting Kansas City,Ndenbe,Logan ,D,"$350,000","$396,125"
Sporting Kansas City,Pierre,Kayden ,D,"$65,500","$70,600"
Sporting Kansas City,Pulido,Alan,F,"$2,200,000","$2,200,000"
Sporting Kansas City,Pulskamp,John,GK,"$89,716","$92,216"
Sporting Kansas City,Rad,Kaveh,D,"$84,000","$84,000"
Sporting Kansas City,Rosell,Oriol,M,"$475,000","$475,000"
Sporting Kansas City,Russell,Johnny,F,"$2,000,000","$2,000,000"
Sporting Kansas City,SallÃ³i,DÃ¡niel,F,"$450,000","$506,667"
Sporting Kansas City,Shelton,Khiry,F,"$350,000","$350,000"
Sporting Kansas City,Sweat,Ben,D,"$200,000","$200,000"
Sporting Kansas City,Tzionis,Marinos ,F-M,"$612,500","$612,500"
Sporting Kansas City,Voloder,Robert ,D,"$400,000","$427,860"
Sporting Kansas City,Vujnovic,Nikola,F,"$428,580","$481,705"
Sporting Kansas City,Walter,RÃ©mi,M,"$800,000","$800,000"
Sporting Kansas City,Zusi,Graham,D,"$450,000","$450,000"
Toronto FC,,Auro,D,"$400,000","$428,750"
Toronto FC,Achara,Ifunanyachi,M,"$84,000","$84,000"
Toronto FC,Akinola,Ayo,F,"$600,000","$671,875"
Toronto FC,Bono,Alex,GK,"$525,000","$557,000"
Toronto FC,Bradley,Michael,M,"$1,500,000","$1,500,000"
Toronto FC,Chung,Kadin ,D,"$65,500","$70,631"
Toronto FC,JimÃ©nez,JesÃºs,F-M,"$815,000","$934,927"
Toronto FC,Kerr,Deandre,M-F,"$65,500","$70,819"
Toronto FC,MacNaughton ,Lukas,D,"$84,000","$86,100"
Toronto FC,Marshall-Rutty,Jahkeele,F,"$130,000","$136,842"
Toronto FC,Mavinga,Chris,D,"$1,000,000","$1,037,500"
Toronto FC,Nelson,Jayden,F,"$130,000","$136,586"
Toronto FC,O'Neill,Shane,D,"$320,000","$358,000"
Toronto FC,Okello,Noble,M,"$115,000","$126,815"
Toronto FC,Osorio,Jonathan,M,"$1,000,000","$1,026,250"
Toronto FC,Perruzza,Jordan,F,"$84,000","$86,500"
Toronto FC,Petrasso,Luca ,D,"$65,500","$65,500"
Toronto FC,Pozuelo ,Alejandro,M,"$3,800,000","$4,693,000"
Toronto FC,Priso--Mbongue,Ralph,M,"$85,444","$89,195"
Toronto FC,Ranjitsingh,Gregory,GK,"$84,000","$89,167"
Toronto FC,Salcedo,Carlos,D,"$2,200,000","$2,351,000"
Toronto FC,Shaffelburg,Jacob,M-F,"$130,000","$136,500"
Toronto FC,Singh ,Luke ,D,"$84,000","$91,966"
Toronto FC,Thompson ,Kosi,M,"$65,500","$70,760"
Toronto FC,Westberg,Quentin,GK,"$300,000","$313,583"
Vancouver Whitecaps,Baldisimo,Michael,M,"$107,415","$109,178"
Vancouver Whitecaps,Berhalter,Sebastian,M,"$100,000","$137,250"
Vancouver Whitecaps,Bikel,Janio,M,"$400,000","$438,750"
Vancouver Whitecaps,Blackmon,Tristan,D,"$350,000","$401,208"
Vancouver Whitecaps,Boehmer,Isaac,GK,"$65,500","$65,500"
Vancouver Whitecaps,Brown,Javain,D,"$84,000","$97,481"
Vancouver Whitecaps,Caicedo,DÃ©iber,M-F,"$300,000","$331,125"
Vancouver Whitecaps,Campagna,Matteo ,D-M,"$65,500","$74,512"
Vancouver Whitecaps,Cavallini,Lucas,F,"$1,200,000","$1,462,500"
Vancouver Whitecaps,Colyn,Simon,M,"$85,444","$85,444"
Vancouver Whitecaps,Cornelius,Derek,D,"$127,050","$127,050"
Vancouver Whitecaps,Cropper,Cody,GK,"$84,000","$84,000"
Vancouver Whitecaps,DÃ¡jome,Cristian,F,"$750,000","$815,625"
Vancouver Whitecaps,Egbo,David,F,"$66,724","$66,724"
Vancouver Whitecaps,Gauld ,Ryan ,M,"$2,160,000","$2,265,000"
Vancouver Whitecaps,Godinho,Marcus ,D,"$85,444","$88,444"
Vancouver Whitecaps,Godoy,Ã‰rik,D,"$550,000","$550,000"
Vancouver Whitecaps,GutiÃ©rrez,CristiÃ¡n,D,"$250,000","$267,500"
Vancouver Whitecaps,Habibullah,Kamron,M-F,"$84,000","$94,882"
Vancouver Whitecaps,Hasal,Thomas,GK,"$155,000","$173,934"
Vancouver Whitecaps,Jungwirth,Florian,D-M,"$550,000","$592,667"
Vancouver Whitecaps,Nerwinski,Jake,D,"$265,000","$280,000"
Vancouver Whitecaps,Newton,Evan,GK,"$105,000","$114,802"
Vancouver Whitecaps,Owusu,Leonard,M,"$350,000","$401,250"
Vancouver Whitecaps,Pecile,Damiano,M,"$84,000","$89,894"
Vancouver Whitecaps,Raposo,Ryan,M,"$100,000","$114,000"
Vancouver Whitecaps,Ricketts,Tosaint,F,"$84,000","$84,000"
Vancouver Whitecaps,Alexandre,Caio,M,"$500,000","$539,583"
Vancouver Whitecaps,Teibert,Russell,M,"$400,000","$437,500"
Vancouver Whitecaps,Veselinovic,Ranko,D,"$405,000","$490,500"
Vancouver Whitecaps,Vite,Pedro ,M,"$556,000","$609,997"
Vancouver Whitecaps,White,Brian,F,"$456,000","$456,000"
